feature,importance
feature_0,0.07677275671379995
feature_1,0.039926590546174597
feature_2,0.13260683633934708
feature_3,0.05846273658616962
feature_4,0.06762392093707752
feature_5,0.006616793279289959
feature_6,0.01842081720195026
feature_7,0.12317845309009806
feature_8,0.055311373569079246
feature_9,0.09951723217132014
feature_10,0.04529398788575146
feature_11,0.12016656998163187
feature_12,0.15610193169831027
